helics_simulation_time,powerRequired
1549.0,-530.6436898716333
1550.0,-530.5568160086706
1551.0,-530.4706135910142
1552.0,-530.3850253739079
1553.0,-530.2999934768401
1554.0,-530.2154561687835
1555.0,-530.1313580029296
1556.0,-530.0476411378361
1557.0,-529.9642477320612
1558.0,-529.8811366694014
1559.0,-529.798251778492
1560.0,-529.7155337312678
1561.0,-529.6560038913049
1562.0,-529.5965296797744
1563.0,-529.5370606250684
1564.0,-529.4775533703761
1565.0,-529.4179564029884
1566.0,-529.3582708913066
1567.0,-529.2984111494408
1568.0,-529.2383995231155
1569.0,-529.178137812324
1570.0,-529.1176608299795
1571.0,-529.0568681885867
1572.0,-528.9957971839553
1573.0,-528.934376649838
1574.0,-528.8726024193865
1575.0,-528.8104559827952
1576.0,-528.747901049954
1577.0,-528.6849208421024
1578.0,-528.6214973208188
1579.0,-528.5576156869481
1580.0,-528.4932531467398
1581.0,-528.4284185596489
1582.0,-528.3630968776223
1583.0,-528.2972665887032
1584.0,-528.2309121058674
1585.0,-528.1640490897487
1586.0,-528.0966872577519
1587.0,-528.0288007745077
1588.0,-527.9603820869514
1589.0,-527.8914407912006
1590.0,-527.8220123881044
1591.0,-527.7520728714192
1592.0,-527.6816225774032
1593.0,-527.6106662840219
1594.0,-527.539252956076
1595.0,-527.4673649625477
1596.0,-527.3950092288128
1597.0,-527.3221926802487
1598.0,-527.2489580842727
1599.0,-527.1753055288656
1600.0,-527.101243864274
1601.0,-527.0267850785083
1602.0,-526.9519593147347
1603.0,-526.8767844058935
1604.0,-526.8012697317769
1605.0,-526.7254309114716
1606.0,-526.6492908363289
1607.0,-526.572874703694
1608.0,-526.496194368579
1609.0,-526.4192677567485
1610.0,-526.3421144554997
1611.0,-526.2647592409
1612.0,-526.1872174602465
1613.0,-526.1095081269486
1614.0,-526.0316502535882
1615.0,-525.9536627952078
1616.0,-525.8755647865237
1617.0,-525.7973752337113
1618.0,-525.7191131429455
1619.0,-525.6407896191278
1620.0,-525.5624235874313
1621.0,-525.4840340063879
1622.0,-525.4056384063389
1623.0,-525.3272542797376
1624.0,-525.2488990811515
1625.0,-525.1705832552293
1626.0,-525.0923106384301
1627.0,-525.0141050932058
1628.0,-524.9359808552343
1629.0,-524.8579518733185
1630.0,-524.7800318093867
1631.0,-524.7022340384923
1632.0,-524.6245514319537
1633.0,-524.5470033017046
1634.0,-524.4696007590419
1635.0,-524.3923529101908
1636.0,-524.315268316096
1637.0,-524.238354992423
1638.0,-524.1616153624262
1639.0,-524.0850510777788
1640.0,-524.0086713013387
1641.0,-523.932480226239
1642.0,-523.8564813592603
1643.0,-523.7806775208325
1644.0,-523.7050708349209
1645.0,-523.6296622524358
1646.0,-523.5544527584264
1647.0,-523.4794423626718
1648.0,-523.4046303827702
1649.0,-523.330015444138
1650.0,-523.2555954800108
1651.0,-523.1813721142178
1652.0,-523.107344102413
1653.0,-523.0335059574768
1654.0,-522.9598539707783
1655.0,-522.8863838374272
1656.0,-522.8130906562724
1657.0,-522.7399703355842
1658.0,-522.6670276754587
1659.0,-522.5942509760207
1660.0,-522.5216346058836
1661.0,-522.4491724837953
1662.0,-522.376858078639
1663.0,-522.3046844094289
1664.0,-522.2326530303735
1665.0,-522.1607572862836
1666.0,-522.0889875888993
1667.0,-522.017337055314
1668.0,-521.9457985127513
1669.0,-521.8743644985631
1670.0,-521.8030299922362
1671.0,-521.7317964926139
1672.0,-521.6606511513962
1673.0,-521.5895870824014
1674.0,-521.5185972616388
1675.0,-521.447674527307
1676.0,-521.3768115797957
1677.0,-521.3060163710928
1678.0,-521.2352785657123
1679.0,-521.1645894685967
1680.0,-521.0939431409494
1681.0,-521.0127609754734
1682.0,-520.9316051116452
1683.0,-520.8504705695156
1684.0,-520.7693524398564
1685.0,-520.6882448476138
1686.0,-520.6071478917286
1687.0,-520.5260517225055
1688.0,-520.4449588925004
1689.0,-520.3638580027937
1690.0,-520.2827530896787
1691.0,-520.2016323794684
1692.0,-520.1205002461514
1693.0,-520.0393482313585
1694.0,-519.9581758395944
1695.0,-519.8769808487583
1696.0,-519.7957587998449
1697.0,-519.7145077077776
1698.0,-519.633225301239
1699.0,-519.5519096420302
1700.0,-519.4705579762649
1701.0,-519.3891710071027
1702.0,-519.30774682634
1703.0,-519.2262827916919
1704.0,-519.1447769200564
1705.0,-519.063230707572
1706.0,-518.981645002315
1707.0,-518.9000166761332
1708.0,-518.8183446424802
1709.0,-518.7366297491315
1710.0,-518.6548757512968
1711.0,-518.5730797131832
1712.0,-518.4912414368124
1713.0,-518.4093612409986
1714.0,-518.3274444689375
1715.0,-518.2454888758552
1716.0,-518.1634950166173
1717.0,-518.0814634460872
1718.0,-517.9993989205338
1719.0,-517.9173011689112
1720.0,-517.8351709819669
1721.0,-517.7530095054932
1722.0,-517.670820087589
1723.0,-517.5886045513071
1724.0,-517.5063637386918
1725.0,-517.4240992325069
1726.0,-517.3418135516354
1727.0,-517.2595094738929
1728.0,-517.1771881120251
1729.0,-517.0948513413517
1730.0,-517.0125012858355
1731.0,-516.9301408013014
1732.0,-516.8477713937958
1733.0,-516.7653950960839
